feature,model,f1_score,class_engineer_info_precision,class_engineer_info_recall,class_engineer_info_f1-score,class_project_info_precision,class_project_info_recall,class_project_info_f1-score
Word2Vec,LogisticRegression,0.3733333333333333,0.6666666666666666,0.11764705882352941,0.2,0.4444444444444444,0.9230769230769231,0.6
Word2Vec,SVM,0.262015503875969,0.0,0.0,0.0,0.43333333333333335,1.0,0.6046511627906976
Word2Vec,RandomForest,0.382060321190756,0.5,0.17647058823529413,0.2608695652173913,0.4166666666666667,0.7692307692307693,0.5405405405405406
Word2Vec,NaiveBayes,0.4592592592592593,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.36363636363636365,0.3076923076923077,0.3333333333333333
TF-IDF,LogisticRegression,0.3311004784688995,0.4,0.11764705882352941,0.18181818181818182,0.4,0.7692307692307693,0.5263157894736842
TF-IDF,SVM,0.3311004784688995,0.4,0.11764705882352941,0.18181818181818182,0.4,0.7692307692307693,0.5263157894736842
TF-IDF,RandomForest,0.35173961840628504,0.4,0.23529411764705882,0.2962962962962963,0.35,0.5384615384615384,0.42424242424242425
TF-IDF,NaiveBayes,0.36879910213243544,0.4375,0.4117647058823529,0.42424242424242425,0.2857142857142857,0.3076923076923077,0.2962962962962963
