feature,model,f1_score,class_engineer_info_precision,class_engineer_info_recall,class_engineer_info_f1-score,class_project_info_precision,class_project_info_recall,class_project_info_f1-score
Word2Vec,LogisticRegression,0.48821548821548816,0.6,0.35294117647058826,0.4444444444444444,0.45,0.6923076923076923,0.5454545454545454
Word2Vec,SVM,0.35238095238095235,0.5,0.11764705882352941,0.19047619047619047,0.4230769230769231,0.8461538461538461,0.5641025641025641
Word2Vec,RandomForest,0.5681127178346311,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.5,0.6153846153846154,0.5517241379310345
Word2Vec,NaiveBayes,0.4592592592592593,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.36363636363636365,0.3076923076923077,0.3333333333333333
TF-IDF,LogisticRegression,0.5270833333333333,0.6363636363636364,0.4117647058823529,0.5,0.47368421052631576,0.6923076923076923,0.5625
TF-IDF,SVM,0.48821548821548816,0.6,0.35294117647058826,0.4444444444444444,0.45,0.6923076923076923,0.5454545454545454
TF-IDF,RandomForest,0.5443809523809524,0.75,0.35294117647058826,0.48,0.5,0.8461538461538461,0.6285714285714286
TF-IDF,NaiveBayes,0.6345569150908417,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.5625,0.6923076923076923,0.6206896551724138
